Date,LIVEPOLC1,MEXBOL,CETES91
18/11/2014,156.389999,43491.44922,2.899952
19/11/2014,157.300003,44118.12891,2.899718
20/11/2014,157.919998,44209.42188,2.890964
21/11/2014,157.5,44633.28125,2.890741
24/11/2014,159.160004,44621.07031,2.890031
25/11/2014,156.380005,44441.01953,2.869523
26/11/2014,154.589996,44672.19922,2.909851
27/11/2014,154.949997,44689.21094,2.911277
28/11/2014,151.179993,44190.46875,2.900886
01/12/2014,150.139999,43392.07031,2.900185
02/12/2014,148.169998,43008.07031,2.92024
03/12/2014,149.669998,43112.28906,2.899718
04/12/2014,148.330002,42816.14844,2.86054
05/12/2014,151.009995,43230.33984,2.941473
08/12/2014,149.039993,42941.82813,2.950881
09/12/2014,148.800003,42339.62891,2.930385
10/12/2014,144.800003,41372.66016,2.930118
11/12/2014,142.490005,41714.57031,2.951867
15/12/2014,139.710007,40334.58984,2.950881
16/12/2014,139.139999,40225.07813,2.970927
17/12/2014,139.470001,41004.44141,2.960565
18/12/2014,143.479996,42475.67188,2.921433
19/12/2014,146.470001,42529.89063,2.921179
29/12/2014,148.029999,43187.64063,2.93061
30/12/2014,147.630005,43018.75,2.950634
31/12/2014,147.850006,43145.66016,2.941709
02/01/2015,144.009995,42115.46875,2.951374
05/01/2015,140.229996,41099.37109,2.940531
06/01/2015,140.729996,41329.41016,2.919984
07/01/2015,144.369995,41813.92969,2.929894
08/01/2015,146.470001,42402.30859,2.911277
09/01/2015,145.910004,42382.41016,2.890741
12/01/2015,145.460007,41780.78125,2.89708
13/01/2015,143.279999,41478.26172,2.904748
14/01/2015,143.710007,40984.21875,2.911268
15/01/2015,141.139999,40998.76953,2.911357
16/01/2015,142.75,41402.01172,2.920002
19/01/2015,142.830002,41285.57813,2.920496
20/01/2015,142.449997,41752.67188,2.926777
21/01/2015,144.619995,42488.73047,2.919984
22/01/2015,149.490005,43121.28125,2.919828
23/01/2015,151.179993,42649.71875,2.923411
26/01/2015,152.649994,42737.85156,2.905389
27/01/2015,152.990005,42627.82031,2.889426
28/01/2015,157.199997,42158.07031,2.877264
29/01/2015,156.720001,41862.32813,2.848339
30/01/2015,153.570007,40950.57813,2.905594
03/02/2015,157.850006,41572.23828,2.894052
04/02/2015,156.690002,41710.82031,2.894824
05/02/2015,159.550003,42453.64063,2.890041
06/02/2015,155.979996,42715.42969,2.896179
09/02/2015,156.330002,42810.28906,2.916719
10/02/2015,155.809998,42635.19141,2.940021
11/02/2015,154,41933.26172,2.941541
12/02/2015,161.619995,43045.51172,2.941869
13/02/2015,161.139999,43072.42188,2.971187
16/02/2015,159.580002,42959.55859,2.943998
17/02/2015,159.820007,43251.78906,2.978527
18/02/2015,161.690002,43053.64844,2.978905
19/02/2015,168.289993,43231.42188,2.966764
20/02/2015,166.639999,43551.26172,2.964489
23/02/2015,165.410004,43675.87109,2.971196
24/02/2015,167.050003,43921.55078,3.004428
25/02/2015,163.660004,43802.07031,3.001412
26/02/2015,166.449997,44416.48828,2.994193
27/02/2015,168.899994,44190.17188,3.000906
02/03/2015,167.199997,43882.71094,3.009691
03/03/2015,164.889999,43600.37109,3.029186
04/03/2015,165.779999,43296.55078,3.032084
05/03/2015,169.169998,43517.78906,3.020862
06/03/2015,170.429993,43280.80859,3.115844
09/03/2015,167.75,43251.39844,3.122405
10/03/2015,167.279999,42972.14844,3.172651
11/03/2015,167.649994,43227.19922,3.1488
12/03/2015,178.309998,44055.89063,3.138264
13/03/2015,175.059998,44002.28906,3.140383
17/03/2015,170.619995,43761.35938,3.163557
18/03/2015,178.460007,44360.87109,3.139988
19/03/2015,179.479996,44118.17188,3.139992
20/03/2015,177.919998,43968.14844,3.090576
23/03/2015,174.649994,43952.71094,3.089979
24/03/2015,174.910004,44051.21094,3.106366
25/03/2015,173.589996,43630.96094,3.125632
26/03/2015,173.25,43229.16016,3.163546
27/03/2015,175.610001,43637.96875,3.136036
30/03/2015,176.899994,43922.82813,3.130009
31/03/2015,180.009995,43724.78125,3.142735
01/04/2015,178.889999,44202.94141,3.149239
06/04/2015,180.460007,44850.05859,3.124212
07/04/2015,182.860001,44987.87109,3.09001
